org_name,ein,found
100 Black Men of Greater Washington DC,521998131,0
826DC,262426166,0
After-School All-Stars,954441208,0
Amy Jacques Garvey Institute,521479811,0
Arena Stage at the Mead Center for American Theater,530246894,0
Arts for Our Children,521962699,0
Asian American LEAD,522102012,0
Atlas Performing Arts Center,522358563,0
Beacon House Community Ministry,521773366,0
Best Friends Foundation,521844471,0
Boys & Girls Clubs of Greater Washington,530236759,0
Brighter Day Enrichment Academy (BDEA),800832749,0
BUILD Metro DC,943386695,0
Calvin Coolidge Alumni Association,208865134,0
Capitol Movement,352281200,0
CentroNia,251689720,0
Cadence Episcopal Day School - The Cadence Group Ceo Kids Of Washington,521806439,0
Children & Charity International,753121647,0
CitiWide Computer Training Center,521821950,0
City Gate,522272180,0
City Kids Wilderness Project,521976304,0
CityDance Emsemble,522165072,0
College Success Foundation-DC,205561911,0
College Tribe,205508155,0
Common Threads,200106847,0
Community Services Foundation,452635513,0
Dance Institue of Washington,521851373,0
Dance Place (DC Wheel Productions),521118504,0
DC Creative Writing Workshop,522221613,0
DC Promise Neighborhood Initiative,270675043,0
DC Scores,522230721,0
DC Youth Orchestra Program,526059783,0
DeLoren Foundation / Alternative Education League,452453884,0
Do the Write Thing Foundation of DC,272171541,0
Edlavitch DCJCC,521398151,0
Education Plus 2,264492699,0
Empowerment Enterprise II,262950191,0
A Washington Field of Dreams,522108599,0
Fihankra Akoma Ntoaso (FAN),203235972,0
Fishing School,521736536,0
Flag Star Football Foundation,814384680,0
FLOC FOR LOVE OF CHILDREN,526064548,0
Friends of Carter Barron Foundation,521756959,0
Friends of Fort Dupont Ice Arena,521985982,0
Friends of Kenilworth Aquatic Gardens,208701197,0
Future Project,274374555,0
GALA,521064097,0
Game Plan,475539043,0
Georgia Avenue Rock Creek East Family Support Collaborative,522349433,0
Girls  of the Washington DC Metropolitan Area,841648959,0
Girls on the Run DC,743218001,0
Girls Rock! DC,263133547,0
Global Kids,133629485,0
Good Projects,811491594,0
Growing Together orporated,521631340,0
Healthy Babies Project,521711352,0
Healthy Living,161664493,0
High Tea Society,522044895,0
Higher Achievement Program,521383374,0
Hillside Work Scholarship Connection,161453581,0
Homeless Childrens Playtime Project,203380456,0
Horizons Greater Washington,271476998,0
Hortons Kids,521755403,0
Housing Up,521675958,0
Human Resources Achievement Program,472145801,0
Hung Tao Choy Mei Leadership Institute,113679500,0
Innercity Collaborative CDC,460854156,0
Institute for Equity & Excellence in Public Education,813579801,0
Joy of Motion Dance Center,521074743,0
Jubilee Housing,520986261,0
Just Keep Livin Foundation, 203921057,0
The Andrew Keegan Theare Company,521828004,0
Kid Power,262333511,0
Kids Kitchen,421658769,0
Knock on Wood Tap Studio,521922907,0
Latin American Youth Center,521023074,0
The Latino Student Fund,521859975,0
The Learning Tree,262963674,0
LearnServe International,800208444,0
Libertys Promise,270058022,0
Life Pieces to Masterpieces,522076894,0
The Boarder Baby Project Ltd dba The Little Blue House,521680820,0
Little Lights Urban Ministries,522125232,0
Living Classrooms Foundation of the National Capital Region,900518838,0
Luma Lab,814230539,0
Marthas Table,521186071,0
Marys Center for Maternal and Child Care,521594116,0
Mentors of Minorities in Education  (MOMIE),521890845,0
Mentors,521547224,0
Multicultural Career Intern Program,521263933,0
Musicianship,460557954,0
National Center for Children and Families,520591586,0
National Housing Trust - Enterprise Preservation Corp,521477599,0
The National Organization of Concerned Black Men,521790616,0
Washington Nationals Youth Baseball Academy,453990897,0
Neighbors of Seaton Place,432042348,0
New Community for Children,521611821,0
NOMIS Youth Network,521983491,0
Northeast Performing Arts Group,521416932,0
One Common Unity,522270569,0
Opportunities Industrialization Center  (OIC/DC),522237798,0
People Animals Love (PAL),521282069,0
Planned Parenthood of Metropolitan Washington DC,530204621,0
Play Footy,462635195,0
Project Beautify You,460969883,0
Project Create,421559894,0
Martin Pollak Project : Northstar Tutoring/Mentoring Project,521171384,0
Reach Education,264622113,0
Reading Partners,770568469,0
Recreation Wish List Committee of Washington DC,521939752,0
Sasha Bruce Youthwork,521006486,0
Savoreux Development Foundation,521853540,0
Shaw Community Center (Shaw Community Ministry ),510334496,0
Siblings Together USA,461329554,0
Sitar Arts Center,522113471,0
Split This Rock,264559492,0
Step Afrika USA orporated,522118391,0
Synergistic,521813478,0
Take Charge Juvenile Diversion Program,432023700,0
Techbridge Girls,274162514,0
Teens Count,341996713,0
Maryland State Tigers Youth Development,464968671,0
US Dream Academy,593514841,0
Unanimous Decision,471131007,0
United Planning Organization,520788987,0
Urban Alliance Foundation,521938443,0
Urban Village Community Center Assoc,522420644,0
The Washington School for Girls,522031849,0
Washington Tennis & Education Foundation East,454066642,0
Washington Urban Debate League,474987160,0
Wilderness Leadership and Learning,134256302,0
Words Beats and Life  (WBL),270062812,0
YMCA of Metropolitan Washington,530207403,0
Young Ladies of Tomorrow,522203869,0
Young Playwrights Theater,522102391,0
Youth Organizations United To Rise (YOUR) Community Center,311678677,0
Youth Entrepreneur Institute,475351868,0
Youth in the Arts IMAGINE,275108166,0
Youth Leadership Foundation,522016259,0
YWCA National Capital Area,520893511,0
Zenith Community Arts Foundation,364385716,0
