Org name,Most recent year,Description,,,Employees,Volunteers,,Previous year grants,Current year grants,Current year service rev,Previous year service,,PY other rev,CY other rev,PY total,CY total,,,,,,,,,,,,,,,,,,Net assets beginning of year,Net assets end of year
AAA Organization Name,AAA Year Found,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,cytotalproffndrsngexpnsamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
Asian American LEAD,2018,To promote the well-being of Asian Pacific American youth and families. See Part III,14,13,40,45,0,946716,927914,0,88790,76692,8399,0,1043905,1004606,0,0,0,1110525,1011978,0,123479,281563,234986,1392088,1246964,-348183,-242358,1163663,935748,84421,130961,1079242,804787
Sitar Arts Center,2018,"SITAR ARTS CENTER'S MISSION IS TO OFFER POSSIBILITIES THAT TRANSFORM THE LIVES OF CHILDREN AND TEENS BORN INTO A WORLD OF UNEQUAL ACCESS TO OPPORTUNITY. WE ACHIEVE THE MISSION BY ENGAGING CHILDREN AND TEENS IN THE HIGHEST QUALITY VISUAL, PERFORMING AND DIGITAL ARTS PROGRAMMING. WE TEACH THE ARTS SO THAT OUR STUDENTS LEARN ABOUT THEMSELVES AND GAIN CRITICAL LIFE SKILLS. WE CREATE COMMUNITY FOR STUDENTS AND THEIR FAMILIES AND WE ARE AN UNTIRING VOICE ON THEIR BEHALF.",18,17,24,300,0,2220520,2053902,128743,-212,4306,-38669,-66977,2296000,2119974,,0,0,952516,1015649,0,253294,896981,898718,1849497,1914367,446503,205607,8273444,8504185,3849876,3865685,4423568,4638500
Fishing School,2018,"To prepare elementary and middle school youth for success in high school and life by improving their academic performance and life skills; and engaging them and their parents in intensive, multi-year, and research-based out-of-school time and parental engagement programs.",13,13,74,45,0,1362818,1230524,120222,34,20,205775,-36835,1568627,1313931,,0,0,1032278,1009793,0,163643,528044,314977,1560322,1324770,8305,-10839,2139744,2247387,137731,256213,2002013,1991174
Latin American Youth Center ,2018,"YOUTHBUILD PCS OPERATES AS PART OF THE DISTRICT OF COLUMBIA'S PUBLIC SCHOOL SYSTEM, FOCUSING EXCLUSIVELY ON DISCONNECTED YOUTH - YOUNG MEN AND WOMEN BETWEEN THE AGES OF 16-24 WHO ARE NEITHER EMPLOYED NOR ENROLLED IN AN ACADEMIC INSTITUTION. THROUGH ITS PROGRAMS, YOUTHBUILD PCS SEEKS TO TRANSFORM THE LIVES OF DISCONNECTED YOUTH BY OFFERING A PROGRAM, IN ENGLISH AND SPANISH, THAT COMBINES RIGOROUS ACADEMIC INSTRUCTION WITH VOCATIONAL TRAINING, LIFE AND EMPLOYABILITY SKILLS-BUILDING, AND COMMUNITY SERVICE. ONE OF FEW ALTERNATIVE SCHOOLS IN THE DISTRICT, YOUTHBUILD PCS' PROGRAM IS DESIGNED TO PROVIDE STUDENTS WITH OPPORTUNITIES TO SUCCEED, INCLUDING ACCESS TO POST-SECONDARY EDUCATION AND EMPLOYMENT. STUDENTS PARTICIPATE IN A COMPREHENSIVE ACADEMIC PROGRAM IN A NON-TRADITIONAL LEARNING ENVIRONMENT WHILE CONTRIBUTING TO THEIR COMMUNITY THROUGH DEVELOPMENT OF HOUSING FOR LOW-INCOME RESIDENTS OF THE DISTRICT OF COLUMBIA. SMALL BY DESIGN, YOUTHBUILD PCS' NURTURING LEARNING COMMUNITY UTILIZES IN",9,9,28,9,0,656277,764844,2285919,24528,1128,,0,3014091,3051891,500,0,0,1522131,1331468,0,6266,1704530,1447321,3227161,2778789,-213070,273102,483300,685308,80523,63696,402777,621612
Learning Tree,2018,THE PROGRAM ALLOWS FOR STRUCTURED LEARNING ENVIRONMENT WHILE UTILIZING A SPIRITUAL CURRICULUM WITH THE CHILDREN UNDER ITS CARE.,5,0,12,,0,37252,42959,294831,97,90,,0,264467,337880,,0,0,125857,140555,0,0,146713,137177,272570,277732,-8103,60148,557464,617612,,0,557464,617612
CityDance,2018,"CITYDANCE IS AN ARTS AND EDUCATION LEADER THROUGHOUT THE DC METROPOLITAN AREA. WITH ITS MISSION TO TRANSFORM LIVES AND COMMUNITIES THROUGH DANCE, CITYDANCE PRODUCES AND PRESENTS WORLD-CLASS DANCE; TRAINS YOUNG DANCERS FOR PROFESSIONAL CAREERS; AND (CONTINUED ON SCHEDULE O)",15,15,36,19,0,1775717,1395722,1919424,,0,,0,3654511,3315146,,0,0,1280831,1355127,0,208107,1603265,1679049,2884096,3034176,770415,280970,1528599,1851951,227418,269800,1301181,1582151
Project Create,2018,"Project Create provides accessible arts education to promote positive development in children, youth and families experiencing homelessness and poverty.",8,8,4,25,0,365198,295365,27950,23,23,,2165,381921,325503,,0,0,295596,231494,0,22866,335879,229200,631475,460694,-249554,-135191,290171,240536,15391,29062,274780,211474
Washington Urban Debate League,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28247,37021
Youth Leadership Foundation,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38436,38926
