,AAA Organization Name,AAA Year Found,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,cytotalproffndrsngexpnsamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
0,826DC,2018,826DC is a nonprofit organization dedicated to working with students ages 6-18 in developing their creative and expository writing skills and to working with teachers to inspire their students to write.,12,11,6,250,-17108,475368,669012,1750,57,5,-22156,35098,453269,705865,HEADERFILL-NULL,0,0,303191,333459,0,176517,353018,271149,656209,604608,-202940,101257,261671,350120,285088,272280,-23417,77840
0,826DC,2017,826DC is a nonprofit organization dedicated to working with students ages 6-18 in developing their creative and expository writing skills and to working with teachers to inspire their students to write.,14,14,6,200,-32913,659632,475368,0,447,57,-8553,-22156,652463,453269,HEADERFILL-NULL,0,0,233113,303191,0,199680,279955,353018,513068,656209,139395,-202940,320828,261671,141305,285088,179523,-23417
0,826DC,2016,"826DC is dedicated to supporting students ages 6-18 with their creative and expository writing skills, and to helping teachers inspire their students to write. Great leaps in learning can happen with one-on-one attention, and strong writing skills are fundamental to success.",11,11,5,HEADERFILL-NULL,-13540,430303,659632,937,HEADERFILL-NULL,447,-30724,-8553,399579,652463,HEADERFILL-NULL,0,0,118568,233113,0,132691,231675,279955,356243,513068,43336,139395,126095,320828,105108,141305,20987,179523
0,After-School All-Stars,2017,PROVIDING QUALITY AFTER-SCHOOL PROGRAMMING FOR AT-RISK MIDDLE SCHOOL YOUTH IN HAWAII'S PUBLIC MIDDLE SCHOOLS,11,10,156,199,0,1641054,1243121,0,0,0,107888,85034,1748942,1328155,0,0,0,1118164,1236739,0,131350,275335,394022,1393499,1630761,355443,-302606,1654883,1375559,71419,94701,1583464,1280858
0,After-School All-Stars,2016,TO BENEFIT AND ENCOURAGE THE HEALTH AND PROSPERITY OF CHILDREN (PARTICULARLY AT-RISK AND DISADVANTAGED CHILDREN) THROUGHOUT THE SAN ANTONIO AREA.,17,17,242,25,0,1277805,933633,0,398,433,-20028,-25238,1258175,908828,0,0,0,1005211,678383,0,0,218737,130591,1223948,808974,34227,99854,821459,927582,55062,61331,766397,866251
0,After-School All-Stars,2015,"THE GREATER LAS VEGAS AFTER-SCHOOL ALL-STARS (D/B/A AFTER-SCHOOL ALL-STARS LAS VEGAS) PROVIDES FREE COMPREHENSIVE OUT-OF-SCHOOL PROGRAMS THAT KEEP CHILDREN SAFE AND HELP THEM SUCCEED IN SCHOOL AND IN LIFE. THE AFTER-SCHOOL ALL-STARS LAS VEGAS PROVIDES ENGAGING AFTER-SCHOOL ACTIVITIES AND OPPORTUNITIES FOR UNDERPRIVILEGED YOUTH, AGES 5-14, IN LAS VEGAS. THE AFTER-SCHOOL PROGRAMS OPERATE DIRECTLY AT 13 AT-RISK SCHOOL CAMPUSES AFTER THE SCHOOL BELL RINGS EACH DAY. AFTER-SCHOOL ALL-STARS PROVIDES YOUTH WITH ACADEMIC HELP, MENTORING, TUTORING AS WELL AS ENRICHMENT PROGRAMS SUCH AS SPORTS, DANCE, MUSIC, COOKING, DRAMA, ETC. THE AFTER-SCHOOL PROGRAM BEGINS WITH AN HOUR OF MENTORING, TUTORING OR HOMEWORK HELP, FOLLOWED BY AN HOUR OF AN ENRICHMENT OR CULTURAL ARTS ACTIVITIES.",22,22,11,50,0,1059982,1162597,0,758,496,HEADERFILL-NULL,0,1060740,1163093,13348,0,0,530960,463855,0,124879,635471,622577,1179779,1086432,-119039,76661,595878,820031,32584,180076,563294,639955
0,Asian American LEAD,2018,To promote the well-being of Asian Pacific American youth and families. See Part III,14,13,40,45,0,946716,927914,0,88790,76692,8399,0,1043905,1004606,0,0,0,1110525,1011978,0,123479,281563,234986,1392088,1246964,-348183,-242358,1163663,935748,84421,130961,1079242,804787
0,Asian American LEAD,2017,To promote the well-being of Asian Pacific American youth and families. See Part III,11,10,44,115,0,1034538,946716,0,18525,88790,11303,8399,1064366,1043905,889,0,0,850122,1110525,0,275550,241580,281563,1092591,1392088,-28225,-348183,1488221,1163663,62659,84421,1425562,1079242
0,Asian American LEAD,2016,To promote the well-being of Asian Pacific American youth and families. See Part III,12,11,49,141,0,1066757,1034538,0,13824,18525,3558,11303,1084139,1064366,754,889,0,725008,850122,0,177729,194338,241580,920100,1092591,164039,-28225,1532130,1488221,59852,62659,1472278,1425562
0,Asian American LEAD,2015,To promote the well-being of Asian Pacific American youth and families. See Part III,10,10,49,139,0,880211,1066757,0,10594,13824,2291,3558,893096,1084139,150,754,0,601964,725008,0,107272,229762,194338,831876,920100,61220,164039,1254939,1532130,20304,59852,1234635,1472278
0,Atlas Performing Arts Center,2018,"SEE PART III, LINE 1.",21,20,48,65,6218,1180982,1311424,958114,1663,-5152,771222,735393,2788356,2999779,0,0,0,998371,1263984,0,219675,2103461,2071237,3101832,3335221,-313476,-335442,17176888,16696817,7191437,7021168,9985451,9675649
0,Atlas Performing Arts Center,2017,"ATLAS IS A COMMUNITY-BASED VENUE FOR THE PERFORMING ARTS IN NORTHEAST WASHINGTON, DC.",21,21,38,50,0,1773915,1180982,834489,7738,1663,514952,771222,2842814,2788356,0,0,0,887824,998371,0,291193,2100200,2103461,2988024,3101832,-145210,-313476,17564833,17176888,7272961,7191437,10291872,9985451
0,Atlas Performing Arts Center,2016,"ATLAS IS A COMMUNITY-BASED VENUE FOR THE PERFORMING ARTS IN NORTHEAST WASHINGTON, DC.",21,21,33,75,0,436237,1773915,546209,5336,7738,320805,514952,1101002,2842814,0,0,0,569523,887824,0,207457,1659705,2100200,2229228,2988024,-1128226,-145210,17848865,17564833,7363923,7272961,10484942,10291872
0,Beacon House Community Ministry,2018,TO PREPARE AT-RISK YOUTH FOR PRODUCTIVE INVOLVEMENT IN THEIR COMMUNITY AND SOCIETY.,10,9,21,150,0,1085424,1030056,43554,9765,53231,5874,72,1120467,1126913,0,0,0,553500,626754,0,109035,696498,584743,1249998,1211497,-129531,-84584,1271332,1145059,99890,106001,1171442,1039058
0,Beacon House Community Ministry,2017,To prepare at-risk youth for productive involvement in their community and society.,11,10,14,160,0,963273,1292014,19379,17397,83281,1347,3579,1010467,1398253,HEADERFILL-NULL,0,0,510707,532632,0,4236,530063,554092,1040770,1086724,-30303,311529,1400885,1504655,99912,-22599,1300973,1527254
0,Beacon House Community Ministry,2015,TO PREPARE AT-RISK YOUTH FOR PRODUCTIVE INVOLVEMENT IN THEIR COMMUNITY AND SOCIETY.,12,11,16,162,0,992822,963273,28450,18594,17397,4369,1347,1022991,1010467,0,0,0,544841,510707,0,66956,450029,530063,994870,1040770,28121,-30303,1359023,1400885,88949,99912,1270074,1300973
